TDEP,DVER,BDIA,ROPA,HKLA,HKLX,WOBA,TQA,TQX,RPMA,RPMB,SPPA,TVA,MFOA,MFIA,MDOA,MDIA,MTOA,MTIA,MROA,MRIA,ECDT,BDTI,BDDI,BRTI,BRVC,TCTI,FPPG,DXC,GASA,GASX,HSA,HSX,MTHA,ETHA,PRPA,IBTA,NBTA,IPNA,NPNA,EPNA,C1C2,C1C3,C1C4,C1C5,LITH,WLFL,WLCL,CCAL,CDOL
257,257.0,26.0,1.83,108.9,111.03,1.0,0.01,0.01,2,62,74.31,132.25,456.31,3078.85,0.0,0.0,10.69,3.19,0,0,0.0,0.3,13.4,33.56,1243.0,33.56,0.0,0.0,0.0,0.0,None,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,0.0,0.0,0.0,0.0,None,None,None,None,None
258,258.0,26.0,1.64,106.21,109.47,0.06,0.01,0.01,2,62,76.26,133.1,429.44,3078.85,0.0,0.0,10.69,3.19,0,0,0.0,0.9,14.3,34.13,3414.0,34.13,0.0,0.0,0.0,0.0,None,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,0.0,0.0,0.0,0.0,None,None,None,None,None
259,259.0,26.0,1.83,107.54,110.25,1.0,0.01,0.01,2,62,75.38,135.39,429.29,3078.85,0.0,0.0,10.69,3.19,0,0,0.0,1.4,15.2,34.62,5275.0,34.62,0.0,0.0,0.0,0.0,None,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,0.0,0.0,0.0,0.0,None,None,None,None,None
260,260.0,26.0,1.83,106.73,108.68,1.0,0.01,0.01,2,62,75.96,134.1,391.67,3078.85,0.0,0.0,10.69,2.23,0,0,0.0,2.0,16.4,35.27,7762.0,35.27,0.0,0.0,0.0,0.0,None,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,0.0,0.0,0.0,0.0,None,None,None,None,None
261,261.0,26.0,2.05,107.52,109.86,1.0,0.01,0.01,2,62,75.47,123.02,375.17,3078.85,0.0,0.0,10.69,2.18,0,0,0.0,2.5,17.3,35.71,9378.0,35.71,0.0,0.0,0.0,0.0,None,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,0.0,0.0,0.0,0.0,None,None,None,None,None
262,262.0,26.0,2.16,105.56,107.5,0.76,0.01,0.01,2,62,75.92,129.31,375.31,3078.85,0.0,0.0,10.69,2.18,0,0,0.0,2.9,18.2,36.13,10968.0,36.13,0.0,0.0,0.0,0.0,None,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,0.0,0.0,0.0,0.0,None,None,None,None,None
263,263.0,26.0,2.11,105.68,107.5,0.76,0.01,0.01,2,62,75.87,143.7,383.96,3078.85,0.0,0.0,10.69,2.18,0,0,0.0,3.4,19.4,36.7,13128.0,36.7,0.0,0.0,0.0,0.0,None,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,0.0,0.0,0.0,0.0,None,None,None,None,None
264,264.0,26.0,1.37,104.84,106.33,1.44,0.01,0.01,2,62,75.8,129.13,375.14,3078.85,0.0,0.0,9.69,2.18,0,0,0.0,4.2,20.3,37.43,15967.0,37.43,0.0,0.0,0.0,0.0,None,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,0.0,0.0,0.0,0.0,None,None,None,None,None
265,264.99,26.0,2.08,106.65,109.07,1.0,0.01,0.01,2,62,76.33,117.03,377.95,3078.85,0.0,0.0,9.69,2.18,0,0,0.0,4.6,21.2,37.87,17548.0,37.87,0.0,0.0,0.0,0.0,None,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,0.0,0.0,0.0,0.0,None,None,None,None,None
266,265.99,26.0,2.12,105.82,107.11,0.58,0.01,0.01,2,62,65.52,136.16,369.55,3078.85,0.0,0.0,9.69,2.18,0,0,0.0,5.0,22.1,38.29,19158.0,38.29,0.0,0.0,0.0,0.0,None,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,0.0,0.0,0.0,0.0,None,None,None,None,None
267,266.99,26.0,3.86,106.86,109.47,1.0,0.09,0.22,2,71,97.36,127.66,375.7,3566.15,0.0,0.0,9.69,2.18,0,0,0.0,5.5,23.3,44.75,21128.0,44.75,0.0,0.0,0.0,0.0,None,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,0.0,0.0,0.0,0.0,None,None,None,None,None
268,267.99,26.0,2.8,107.19,109.86,1.0,0.1,0.29,2,71,96.63,143.34,375.7,3566.15,0.0,0.0,9.69,2.18,0,0,0.0,5.8,24.2,45.07,22525.0,45.07,0.0,0.0,0.0,0.0,None,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,0.0,0.0,0.0,0.0,None,None,None,None,None
269,268.99,26.0,3.38,105.25,106.72,1.0,0.1,0.34,2,71,97.06,144.15,349.34,3536.73,0.0,0.0,9.69,2.18,0,0,0.0,6.2,25.4,45.46,24141.0,45.46,0.0,0.0,0.0,0.0,None,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,0.0,0.0,0.0,0.0,None,None,None,None,None
