DEPT,DVER,BDIA,ROPA,HKLA,HKLX,WOBA,TQA,TQX,RPMA,RPMB,SPPA,TVA,MFIA,MFOA,MDIA,MDOA,MTIA,MTOA,ECDT,BDTI,BDDI,BRVC,TCTI,FPPG,DXC,GASX,HSX,MTHA,ETHA,PRPA,IBTA,NBTA,IPNA,NPNA,C1C2,C1C3,C1C4,C1C5,LITH
145,145.0,36.0,21.83,36.04,None,0.0,0.0,None,None,0.0,5.6,None,604.0,None,None,None,0.0,None,None,0.0,0.11,0.0,0.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
146,146.0,36.0,29.0,35.28,None,0.0,0.0,None,None,0.0,6.0,None,604.15,None,None,None,0.0,None,None,0.14,1.11,0.0,0.19,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
147,147.0,36.0,41.0,35.29,None,0.0,0.0,None,None,0.0,7.0,None,604.15,None,None,None,0.0,None,None,0.27,2.11,0.0,0.37,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
148,148.0,36.0,20.0,35.32,None,0.0,0.0,None,None,0.0,7.0,None,604.15,None,None,None,0.0,None,None,0.41,3.11,0.0,0.56,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
149,149.0,36.0,15.0,35.29,None,0.0,0.0,None,None,0.0,8.0,None,604.15,None,None,None,0.0,None,None,0.54,4.11,0.0,0.74,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
150,150.0,36.0,20.0,35.28,None,0.0,0.0,None,None,0.0,8.5,None,604.15,None,None,None,0.0,None,None,0.68,5.11,0.0,0.93,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
151,151.0,36.0,21.62,34.08,None,1.2,1.84,None,None,15.0,9.3,None,604.15,None,None,None,15.0,None,None,0.82,6.11,0.04,1.11,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
152,152.0,36.0,20.22,34.09,None,1.19,0.91,None,None,15.0,10.1,None,604.15,None,None,None,15.0,None,None,0.95,7.1,0.09,1.3,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
153,153.0,36.0,25.07,34.08,None,1.2,0.72,None,None,15.86,10.3,None,604.15,None,None,None,15.86,None,None,1.09,8.1,0.12,1.48,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
154,154.0,36.0,25.09,34.06,None,1.23,2.04,None,None,20.0,10.5,None,604.15,None,None,None,20.0,None,None,1.22,9.1,0.17,1.67,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
155,155.0,36.0,29.16,34.06,None,1.22,1.81,None,None,23.57,10.7,None,604.15,None,None,None,23.57,None,None,1.36,10.1,0.22,1.86,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
156,156.0,36.0,29.15,34.02,None,1.26,1.77,None,None,28.5,10.9,None,604.15,None,None,None,28.5,None,None,1.5,11.1,0.28,2.04,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
157,157.0,36.0,31.72,34.01,None,1.27,2.24,None,None,27.86,11.1,None,604.15,None,None,None,27.86,None,None,1.63,12.1,0.33,2.23,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
158,158.0,36.0,18.32,33.9,None,1.38,2.81,None,None,64.17,11.3,None,604.15,None,None,None,64.17,None,None,1.77,13.1,0.54,2.41,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
159,159.0,36.0,20.09,34.13,None,1.15,1.65,None,None,69.0,16.0,None,899.26,None,None,None,69.0,None,None,1.9,14.1,0.75,2.6,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
160,160.0,36.0,26.27,33.86,None,1.42,3.23,None,None,69.0,19.0,None,830.71,None,None,None,69.0,None,None,2.04,15.1,0.91,2.78,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
161,161.0,36.0,18.72,33.77,None,1.51,3.96,None,None,69.0,32.0,None,1422.51,None,None,None,69.0,None,None,2.18,16.1,1.13,2.97,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
162,162.0,36.0,16.47,33.69,None,1.59,5.45,None,None,69.14,52.0,None,2334.62,None,None,None,69.14,None,None,2.31,17.09,1.38,3.15,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
163,163.0,36.0,16.24,33.63,None,1.65,13.34,None,None,68.17,58.0,None,2794.2,None,None,None,68.17,None,None,2.45,18.09,1.63,3.34,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
164,164.0,36.0,16.28,33.71,None,1.57,7.78,None,None,69.14,58.0,None,2794.2,None,None,None,69.14,None,None,2.58,19.09,1.89,3.53,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
165,165.0,36.0,15.55,33.66,None,1.62,11.25,None,None,69.17,58.0,None,2794.2,None,None,None,69.17,None,None,2.72,20.09,2.15,3.71,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
