DEPT,DVER,BDIA,ROPA,HKLA,HKLX,WOBA,TQA,TQX,RPMA,RPMB,SPPA,TVA,MFIA,MFOA,MDIA,MDOA,MTIA,MTOA,ECDT,BDTI,BDDI,BRVC,TCTI,FPPG,DXC,GASX,HSX,MTHA,ETHA,PRPA,IBTA,NBTA,IPNA,NPNA,C1C2,C1C3,C1C4,C1C5,LITH,CCAL,CDOL,WLFL,WLCT
144,144.0,36.0,1.1,99.6,0.0,1.21,0.0,0.0,None,13.0,1.5,0.0,1002.0,0.0,0.0,None,36.0,None,0.0,0.0,0.0,0.0,0.0,1.14,0.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
145,145.0,36.0,1.33,99.31,104.54,1.64,2.48,14.46,None,14.0,1.5,75.06,1002.0,-3.27,1.03,None,36.0,None,1.26,0.0,0.15,0.0,0.0,1.03,0.78,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
146,146.0,36.0,7.13,97.31,109.64,4.6,7.48,15.82,None,13.08,1.52,74.03,1002.28,-5.71,1.03,None,36.0,None,1.03,0.34,1.15,0.76,0.71,1.03,0.62,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
147,147.0,36.0,1.78,100.7,122.53,1.77,6.84,16.07,None,15.5,1.5,72.37,1002.2,-6.14,1.03,None,36.0,None,1.03,0.9,2.15,1.81,1.24,1.06,0.76,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
148,148.0,36.0,6.64,102.03,107.85,0.4,3.78,14.94,None,17.98,1.54,62.03,1001.83,-9.28,1.03,None,36.0,None,1.03,1.05,3.15,2.14,1.38,1.06,0.48,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
149,149.0,36.0,7.82,102.03,105.24,0.3,3.54,13.47,None,17.97,1.52,76.22,1001.71,-9.39,1.03,None,36.0,None,1.03,1.18,4.16,2.42,1.5,1.06,0.44,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
150,150.0,36.0,2.71,101.93,104.19,0.16,-0.22,15.0,None,19.0,1.4,72.92,1002.0,-9.47,1.03,None,36.0,None,1.03,1.55,5.15,2.65,1.61,1.06,0.54,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
151,151.0,36.0,22.75,102.72,104.37,0.01,1.78,6.49,None,19.98,1.46,67.11,1002.04,-9.41,1.03,None,36.0,None,1.03,1.59,6.15,2.76,1.66,1.06,0.23,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
152,152.0,36.0,15.89,102.45,105.88,0.05,2.23,5.57,None,20.0,1.28,65.33,1001.77,-9.49,1.03,None,36.0,None,1.03,1.65,7.18,2.92,1.72,1.06,0.31,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
153,153.0,36.0,28.57,102.71,105.31,0.05,2.12,4.22,None,19.98,1.36,73.36,1001.85,-9.56,1.03,None,36.0,None,1.03,1.69,8.16,3.0,1.75,1.06,0.25,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
